date,time,computer.platform,computer.os,display.canvaswidth,display.canvasheight,display.width,display.height,display.refreshrate,blockcode,trialcode,trial_number,Age,Sex,Handedness,response_time,mousex,mousey,audio_condition_select,survey_Q1,survey_Q2,survey_Q3,survey_Q4,survey_Q5
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W2,W2_trial,32,37,Female,Right-handed,1714,875,601,4,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W2,Mouse_test,32,37,Female,Right-handed,1518,1191,653,4,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W2,centermouse,32,37,Female,Right-handed,1518,1191,653,4,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W2,F0_M2_trial,33,37,Female,Right-handed,1518,1191,653,4,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W2,W2_trial,33,37,Female,Right-handed,1518,1191,653,4,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W2,Mouse_test,33,37,Female,Right-handed,1144,1175,643,4,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W2,centermouse,33,37,Female,Right-handed,1144,1175,643,4,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R1,F0_M1_trial,34,37,Female,Right-handed,1144,1175,643,1,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R1,R1_trial,34,37,Female,Right-handed,1144,1175,643,1,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R1,Mouse_test,34,37,Female,Right-handed,1277,889,600,1,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R1,centermouse,34,37,Female,Right-handed,1277,889,600,1,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R1,F0_M1_trial,35,37,Female,Right-handed,1277,889,600,2,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R1,R1_trial,35,37,Female,Right-handed,1277,889,600,2,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R1,Mouse_test,35,37,Female,Right-handed,1121,903,612,2,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R1,centermouse,35,37,Female,Right-handed,1121,903,612,2,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W3,F0_M3_trial,36,37,Female,Right-handed,1121,903,612,5,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W3,W3_trial,36,37,Female,Right-handed,1121,903,612,5,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W3,Mouse_test,36,37,Female,Right-handed,1170,1211,656,5,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W3,centermouse,36,37,Female,Right-handed,1170,1211,656,5,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W1,F0_M1_trial,37,37,Female,Right-handed,1170,1211,656,1,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W1,W1_trial,37,37,Female,Right-handed,1170,1211,656,1,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W1,Mouse_test,37,37,Female,Right-handed,1212,1143,632,1,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W1,centermouse,37,37,Female,Right-handed,1212,1143,632,1,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R3,F0_M3_trial,38,37,Female,Right-handed,1212,1143,632,6,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R3,R3_trial,38,37,Female,Right-handed,1212,1143,632,6,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R3,Mouse_test,38,37,Female,Right-handed,1847,866,577,6,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R3,centermouse,38,37,Female,Right-handed,1847,866,577,6,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W2,F0_M2_trial,39,37,Female,Right-handed,1847,866,577,3,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W2,W2_trial,39,37,Female,Right-handed,1847,866,577,3,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W2,Mouse_test,39,37,Female,Right-handed,1136,1168,653,3,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W2,centermouse,39,37,Female,Right-handed,1136,1168,653,3,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R1,F0_M1_trial,40,37,Female,Right-handed,1136,1168,653,1,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R1,R1_trial,40,37,Female,Right-handed,1136,1168,653,1,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R1,Mouse_test,40,37,Female,Right-handed,1245,925,610,1,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R1,centermouse,40,37,Female,Right-handed,1245,925,610,1,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W3,F0_M3_trial,41,37,Female,Right-handed,1245,925,610,5,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W3,W3_trial,41,37,Female,Right-handed,1245,925,610,5,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W3,Mouse_test,41,37,Female,Right-handed,1349,1206,655,5,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W3,centermouse,41,37,Female,Right-handed,1349,1206,655,5,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R1,F0_M1_trial,42,37,Female,Right-handed,1349,1206,655,2,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R1,R1_trial,42,37,Female,Right-handed,1349,1206,655,2,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R1,Mouse_test,42,37,Female,Right-handed,1558,894,595,2,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R1,centermouse,42,37,Female,Right-handed,1558,894,595,2,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W1,F0_M1_trial,43,37,Female,Right-handed,1558,894,595,2,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W1,W1_trial,43,37,Female,Right-handed,1558,894,595,2,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W1,Mouse_test,43,37,Female,Right-handed,1060,1154,644,2,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W1,centermouse,43,37,Female,Right-handed,1060,1154,644,2,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W3,F0_M3_trial,44,37,Female,Right-handed,1060,1154,644,6,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W3,W3_trial,44,37,Female,Right-handed,1060,1154,644,6,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W3,Mouse_test,44,37,Female,Right-handed,1328,1220,663,6,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W3,centermouse,44,37,Female,Right-handed,1328,1220,663,6,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W2,F0_M2_trial,45,37,Female,Right-handed,1328,1220,663,3,0,0,0,0,0
