"ID","Action_Dir","Action_length","Sound","x_disp","y_disp"
1,"R","1","S1",109.044722481033,-37.5568181818182
1,"R","1","S2",108.320644216691,-32.34375
1,"R","2","S1",90.4875549048317,-50.5390625
1,"R","2","S2",72.0043923865301,-51.3125
1,"R","3","S1",112.866764275256,-54.265625
1,"R","3","S2",112.304538799414,-61.578125
1,"W","1","S1",45.6822840409957,-11.609375
1,"W","1","S2",21.0849194729137,-16.109375
1,"W","2","S1",27.3923865300147,-17.921875
1,"W","2","S2",19.8790097164914,-21.3352272727273
1,"W","3","S1",21.4347131638494,-6.24431818181818
1,"W","3","S2",50.6193265007321,-12.96875
2,"R","1","S1",-21.8181818181818,-2.72727272727273
2,"R","1","S2",-35.7272727272727,5.54545454545455
2,"R","2","S1",-24.8,-5
2,"R","2","S2",-22,-8
2,"R","3","S1",-14.2,-7.2
2,"R","3","S2",-7.54545454545455,-11
2,"W","1","S1",45.9090909090909,-11.3636363636364
2,"W","1","S2",41.1818181818182,-10.5454545454545
2,"W","2","S1",34.7272727272727,-13.9090909090909
2,"W","2","S2",46.5,-11.25
2,"W","3","S1",37.1818181818182,-3.81818181818182
2,"W","3","S2",35,-4.18181818181818
3,"R","1","S1",1.09090909090909,1.18181818181818
3,"R","1","S2",7.81818181818182,-6.09090909090909
3,"R","2","S1",13.4,-7.2
3,"R","2","S2",9.8,-7
3,"R","3","S1",12.9090909090909,-9.72727272727273
3,"R","3","S2",8.91666666666667,-8.5
3,"W","1","S1",13.1,0
3,"W","1","S2",19.9090909090909,-1.72727272727273
3,"W","2","S1",13.0909090909091,2.54545454545455
3,"W","2","S2",15.1,-0.3
3,"W","3","S1",20,4.90909090909091
3,"W","3","S2",18.3333333333333,6.75
4,"R","1","S1",3.33333333333333,-5.66666666666667
4,"R","1","S2",-14.0909090909091,-13.4545454545455
4,"R","2","S1",3.8,-22
4,"R","2","S2",4,-33.5
4,"R","3","S1",19.8,-27.3
4,"R","3","S2",23.8181818181818,-22
4,"W","1","S1",60.5454545454545,-16.3636363636364
4,"W","1","S2",69.6666666666667,-19.4166666666667
4,"W","2","S1",36,-16.9090909090909
4,"W","2","S2",10.6363636363636,-10.4545454545455
4,"W","3","S1",18,-14.4545454545455
4,"W","3","S2",21.4545454545455,-10.6363636363636
5,"R","1","S1",41.4545454545455,-14.5454545454545
5,"R","1","S2",25,-8.41666666666667
5,"R","2","S1",5.8,11.2
5,"R","2","S2",28.3333333333333,-3
5,"R","3","S1",28.4,-15.8
5,"R","3","S2",21.3636363636364,-7.63636363636364
5,"W","1","S1",-27.8181818181818,-6.72727272727273
5,"W","1","S2",-6.45454545454545,-1.63636363636364
5,"W","2","S1",-45.0909090909091,-8.45454545454546
5,"W","2","S2",-0.727272727272727,-3.09090909090909
5,"W","3","S1",-31.0909090909091,5.90909090909091
5,"W","3","S2",1.66666666666667,10.1666666666667
6,"R","1","S1",12.75,-14.4166666666667
6,"R","1","S2",8.09090909090909,-11
6,"R","2","S1",22.2,-23.8
6,"R","2","S2",-5.8,-18.8
6,"R","3","S1",16.0909090909091,-23.7272727272727
6,"R","3","S2",7.45454545454545,-22.7272727272727
6,"W","1","S1",8.4,-14
6,"W","1","S2",25.0909090909091,-16.2727272727273
6,"W","2","S1",17.8181818181818,-18.1818181818182
6,"W","2","S2",21.5454545454545,-15.2727272727273
6,"W","3","S1",15.7,-12.6
6,"W","3","S2",24.3636363636364,-15.3636363636364
7,"R","1","S1",15,-8.33333333333333
7,"R","1","S2",-1.09090909090909,-3.81818181818182
7,"R","2","S1",-1.4,0
7,"R","2","S2",-14.6,5.6
7,"R","3","S1",2.63636363636364,-6.72727272727273
7,"R","3","S2",4.72727272727273,-9.54545454545454
7,"W","1","S1",13.8181818181818,-5.72727272727273
7,"W","1","S2",41.9,-6.7
7,"W","2","S1",31.9090909090909,-1.54545454545455
7,"W","2","S2",45.7272727272727,0.0909090909090909
7,"W","3","S1",46.1818181818182,8.45454545454546
7,"W","3","S2",54.2727272727273,6.27272727272727
8,"R","1","S1",93.7272727272727,-27.5454545454545
8,"R","1","S2",103.363636363636,-19.2727272727273
8,"R","2","S1",69.8,-26.2
8,"R","2","S2",75,-24.4
8,"R","3","S1",71.7272727272727,-28
8,"R","3","S2",78.9090909090909,-24.7272727272727
8,"W","1","S1",33.6363636363636,-8.27272727272727
8,"W","1","S2",60.6666666666667,-7.44444444444444
8,"W","2","S1",44.0909090909091,-9.81818181818182
8,"W","2","S2",53.1818181818182,-6.54545454545455
8,"W","3","S1",42.0833333333333,-2.75
8,"W","3","S2",53,-4.90909090909091
9,"R","1","S1",26.079365079365,-10.3279022403258
9,"R","1","S2",30.015873015873,-11.3177189409368
9,"R","2","S1",36.3015873015873,-26.5682281059063
9,"R","2","S2",19.095238095238,-24.0386965376782
9,"R","3","S1",34.5185185185185,-22.40733197556
9,"R","3","S2",37.5873015873015,-25.6900573967783
9,"W","1","S1",27.1269841269841,-2.38215145343451
9,"W","1","S2",24.4814814814814,0.792260692464415
9,"W","2","S1",10.059163059163,-3.58174412145894
9,"W","2","S2",16.4083694083693,1.21736715423077
9,"W","3","S1",11.2539682539682,2.34419551934831
9,"W","3","S2",10.070707070707,3.71894093686359
11,"R","1","S1",35.6363636363636,-18.5454545454545
11,"R","1","S2",25.9,-11.2
11,"R","2","S1",42.2,-31
11,"R","2","S2",31.75,-24.25
11,"R","3","S1",53.0833333333333,-36
11,"R","3","S2",47.9090909090909,-29.0909090909091
11,"W","1","S1",-26.8,-13.1
11,"W","1","S2",15.4,-11.2
11,"W","2","S1",-11.4166666666667,-23.75
11,"W","2","S2",4.6,-12.6
11,"W","3","S1",12.8181818181818,-2.27272727272727
11,"W","3","S2",28.6666666666667,-5
12,"R","1","S1",95.1,-7.7
12,"R","1","S2",55.2727272727273,4.18181818181818
12,"R","2","S1",54.2,-0.6
12,"R","2","S2",53.2,0.8
12,"R","3","S1",51.8181818181818,-1.18181818181818
12,"R","3","S2",52.2727272727273,-3
12,"W","1","S1",53.9090909090909,-8.54545454545454
12,"W","1","S2",82.2727272727273,-3.45454545454545
12,"W","2","S1",61.4,-8.4
12,"W","2","S2",57.4545454545455,-3.09090909090909
12,"W","3","S1",58,-4.25
12,"W","3","S2",69.5454545454545,-3.36363636363636
13,"R","1","S1",25.4848484848485,-10.0181818181818
13,"R","1","S2",18.3333333333333,-9.90909090909089
13,"R","2","S1",26.0666666666667,-16.28
13,"R","2","S2",15.6666666666666,-13.88
13,"R","3","S1",25.5757575757575,-16.8363636363636
13,"R","3","S2",16.5333333333333,-13.52
13,"W","1","S1",13.3030303030302,-0.581818181818149
13,"W","1","S2",32.3333333333333,-0.0363636363636136
13,"W","2","S1",13.4444444444444,0.700000000000008
13,"W","2","S2",21.3030303030302,1.83636363636365
13,"W","3","S1",16.9393939393939,7.92727272727274
13,"W","3","S2",19.6060606060606,7.49090909090912
14,"R","1","S1",53.7272727272727,1.54545454545455
14,"R","1","S2",43.8181818181818,7.18181818181818
14,"R","2","S1",35.6,3.8
14,"R","2","S2",18.8,7
14,"R","3","S1",24.5833333333333,8.33333333333333
14,"R","3","S2",18.7272727272727,5
14,"W","1","S1",23.6,12
14,"W","1","S2",56.1818181818182,12.1818181818182
14,"W","2","S1",33.2,10.1
14,"W","2","S2",56.4545454545455,10.9090909090909
14,"W","3","S1",46.6666666666667,15.8333333333333
14,"W","3","S2",64.9090909090909,18
15,"R","1","S1",7.2,-14.1
15,"R","1","S2",0.6,-7.9
15,"R","2","S1",-23.6,-6
15,"R","2","S2",-17.8,-8.2
15,"R","3","S1",9.36363636363636,-19.4545454545455
15,"R","3","S2",4.09090909090909,-10.1818181818182
15,"W","1","S1",-14.8181818181818,-8.72727272727273
15,"W","1","S2",-15,-13.0909090909091
15,"W","2","S1",-53.0909090909091,-11.8181818181818
15,"W","2","S2",-38,-11.4545454545455
15,"W","3","S1",-62.4,-4.6
15,"W","3","S2",-35.0833333333333,-8.33333333333333
16,"R","1","S1",54,11.4
16,"R","1","S2",52.0909090909091,20.4545454545455
16,"R","2","S1",56.2,10
16,"R","2","S2",57.4,15
16,"R","3","S1",61.1,4.8
16,"R","3","S2",64.625,4.125
16,"W","1","S1",47.2727272727273,8.54545454545454
16,"W","1","S2",56.6,8.4
16,"W","2","S1",50,10.3636363636364
16,"W","2","S2",58.0833333333333,11.1666666666667
16,"W","3","S1",46.1818181818182,13.7272727272727
16,"W","3","S2",53.9090909090909,14.7272727272727
17,"R","1","S1",-5.1,-7
17,"R","1","S2",-11.4,-6.6
17,"R","2","S1",5.4,-21.6
17,"R","2","S2",-8.4,-16
17,"R","3","S1",7.16666666666667,-21.75
17,"R","3","S2",12.7272727272727,-21.2727272727273
17,"W","1","S1",-13.1818181818182,-1.90909090909091
17,"W","1","S2",12.9090909090909,0.545454545454545
17,"W","2","S1",-20.5454545454545,-1.09090909090909
17,"W","2","S2",-21,-0.909090909090909
17,"W","3","S1",-43.0833333333333,5.91666666666667
17,"W","3","S2",-23.7272727272727,6.90909090909091
18,"R","1","S1",9.9,-8.5
18,"R","1","S2",-3.7,-1
18,"R","2","S1",-1.2,-8.8
18,"R","2","S2",3.6,-11.4
18,"R","3","S1",11.3636363636364,-9.72727272727273
18,"R","3","S2",11.0833333333333,-10.9166666666667
18,"W","1","S1",26.6,-10.1
18,"W","1","S2",37.5555555555556,-1.55555555555556
18,"W","2","S1",25.7272727272727,-8.09090909090909
18,"W","2","S2",33.5,-3.75
18,"W","3","S1",30.1111111111111,-2
18,"W","3","S2",34.3333333333333,-9.22222222222222
20,"R","1","S1",20,-9.18181818181818
20,"R","1","S2",19.6363636363636,-14.5454545454545
20,"R","2","S1",52.2,-16.2
20,"R","2","S2",42.8,-20.8
20,"R","3","S1",62.625,-33.25
20,"R","3","S2",45.25,-26.5
20,"W","1","S1",4,-7.09090909090909
20,"W","1","S2",6.33333333333333,1.75
20,"W","2","S1",-25.1,-2.2
20,"W","2","S2",-28.7,-5.9
20,"W","3","S1",-13,11.75
20,"W","3","S2",-50.4,7.6
21,"R","1","S1",37.5,-12.4166666666667
21,"R","1","S2",19.2727272727273,-4.18181818181818
21,"R","2","S1",61.4,-29
21,"R","2","S2",45.6,-25.4
21,"R","3","S1",54.9,-19.9
21,"R","3","S2",37.8181818181818,-16.0909090909091
21,"W","1","S1",-40.1818181818182,-11
21,"W","1","S2",-6.45454545454545,-8.27272727272727
21,"W","2","S1",-34.8888888888889,-3.77777777777778
21,"W","2","S2",-17.6363636363636,-5.18181818181818
21,"W","3","S1",-25.3333333333333,7.88888888888889
21,"W","3","S2",-20.5454545454545,9.45454545454546
22,"R","1","S1",30.2,-7.2
22,"R","1","S2",19.8181818181818,-1
22,"R","2","S1",31.4,-10.6
22,"R","2","S2",28.2,-8
22,"R","3","S1",29.2727272727273,-16.7272727272727
22,"R","3","S2",29.1818181818182,-11.8181818181818
22,"W","1","S1",-7.09090909090909,-6.63636363636364
22,"W","1","S2",11,0
22,"W","2","S1",-8.45454545454546,-3.45454545454545
22,"W","2","S2",-0.416666666666667,-5.83333333333333
22,"W","3","S1",-17.1818181818182,-1.36363636363636
22,"W","3","S2",15,-0.166666666666667
23,"R","1","S1",91.2977061981455,-48.125
23,"R","1","S2",91.9224011713031,-49.0625
