"ID","Action_Dir","Action_length","Sound","x_disp","y_disp"
1,"R","1","S1",16.6666666666666,4.41538461538465
1,"R","1","S2",25.6666666666666,7.45000000000005
1,"R","2","S1",27,3.84000000000001
1,"R","2","S2",25.5925925925926,-0.266666666666639
1,"R","3","S1",37.9999999999999,3.40000000000003
1,"R","3","S2",34,-0.733333333333311
1,"W","1","S1",16.1818181818181,6.18181818181821
1,"W","1","S2",23.9259259259258,13.8666666666667
1,"W","2","S1",17.0666666666666,15.6
1,"W","2","S2",24.2962962962962,15.5333333333334
1,"W","3","S1",21.9999999999999,19.64
1,"W","3","S2",23.037037037037,20.1333333333334
2,"R","1","S1",37.3333333333333,-14.6
2,"R","1","S2",36.9629629629629,-19.6666666666667
2,"R","2","S1",41.6666666666666,-14.25
2,"R","2","S2",42.7777777777777,-23.4
2,"R","3","S1",52.3589743589743,-19.8615384615384
2,"R","3","S2",51.3333333333333,-19.85
2,"W","1","S1",42.3636363636363,7.92727272727275
2,"W","1","S2",44.6666666666666,3.33333333333337
2,"W","2","S1",43.9999999999999,13.08
2,"W","2","S2",52.1481481481481,12.4666666666667
2,"W","3","S1",46.1333333333333,10.16
2,"W","3","S2",45.7575757575757,14.6545454545455
3,"R","1","S1",29.6666666666667,6.5
3,"R","1","S2",18.4666666666667,10.4
3,"R","2","S1",20.3333333333333,0.533333333333333
3,"R","2","S2",19.8333333333333,8.5
3,"R","3","S1",34.1,4.4
3,"R","3","S2",25.0909090909091,1.81818181818182
3,"W","1","S1",15.0833333333333,5.41666666666667
3,"W","1","S2",11,2.16666666666667
3,"W","2","S1",6,7.33333333333333
3,"W","2","S2",12.1,11.5
3,"W","3","S1",8.33333333333333,5
3,"W","3","S2",12.5714285714286,15.8571428571429
4,"R","1","S1",77.875,-26.375
4,"R","1","S2",81.9166666666667,-24.4166666666667
4,"R","2","S1",86.5,-26.1
4,"R","2","S2",73.1,-17.1
4,"R","3","S1",108.166666666667,-20.3333333333333
4,"R","3","S2",85.2307692307692,-14.3846153846154
4,"W","1","S1",1.91666666666667,7.91666666666667
4,"W","1","S2",33.6666666666667,12.3333333333333
4,"W","2","S1",9.16666666666667,23.75
4,"W","2","S2",10.75,22.625
4,"W","3","S1",34.1428571428571,26.4285714285714
4,"W","3","S2",18.6666666666667,28.1666666666667
5,"R","1","S1",7.88888888888889,-0.666666666666667
5,"R","1","S2",11.4,2.7
5,"R","2","S1",29.8571428571429,-10.4285714285714
5,"R","2","S2",17.6153846153846,0
5,"R","3","S1",29.6666666666667,-5.55555555555556
5,"R","3","S2",21,-2.81818181818182
5,"W","1","S1",20.7272727272727,-8.81818181818182
5,"W","1","S2",18.125,-9.5
5,"W","2","S1",20.1666666666667,0.0833333333333333
